Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees
UG,Kabale,Uganda - Kabale,Muko,Nyakataare,Nyakataare Tree Planters,07/09/2023 22:47,1,471
UG,Kanungu,Uganda - Kanungu,Katojo,Ruhago,Itara tree planting,07/08/2023 22:49,1,1904
UG,Kabale,Uganda - Kabale,Hamurwa,Rwamiganda,Rwamiganda fermers ass,07/08/2023 22:49,1,486
UG,Bushenyi,Bushenyi,Kiyanga,Kyeshabo.,Kyeshabo Bahingi Group.,07/06/2023 22:49,1,490
UG,Bushenyi,Bushenyi,Kiyanga,Kyeshabo.,Kyeshabo Bahingi Twegaite Group.,07/05/2023 22:50,1,586
UG,Kitgum,Uganda - Kitgum,Orom,Ringilil,Maryland Tree Planting,07/05/2023 22:50,1,472
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,Katangyemeko Tree Growers and Bee Keepers.,07/04/2023 22:51,1,515
UG,Bushenyi,Bushenyi,Kiyanga,Bukiriro 1 .,Bukiriro 1 Tukwatanise Group.,07/03/2023 22:51,1,427
UG,Kanungu,Uganda - Kanungu,Kayonza Mpungu,Mukono,Bwindi my home Lev,07/03/2023 22:51,1,578
UG,Soroti,Soroti,Arapai,Ogorai,ODIERITOK ELDERS GROUP,07/02/2023 22:48,1,935
UG,Bushenyi,Bushenyi,Kiyanga,kafunjo,Kafunjo A.,07/01/2023 22:47,1,121
UG,Bushenyi,Bushenyi,Kiyanga,Rwoburunga B.,Rwoburunga Tuhingye Wmiti Group.,07/01/2023 22:47,1,116
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kajuma Itwara,Kajuma Itwara Self help.G,6/30/2023 22:49,1,21
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kaswa,Nswiga Tukwatanise tree planting Group,6/30/2023 22:49,1,65
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,Katangyemeko Tree Growers Group.,6/30/2023 22:49,1,530
UG,Amuru,Uganda - Amuru,Mutema,Labongo,LACAN KWITE TREE GROWERS,6/30/2023 22:49,1,0
UG,Kyenjojo,Uganda - Kyenjojo,Kyembogo,NSWIGA,Nswiga environmental specialists grp,6/30/2023 22:49,1,289
UG,Amuru,Uganda - Amuru,Pupwooya,Palabel,Tamkumi,6/30/2023 22:49,1,91
UG,Bushenyi,Bushenyi,Kyaruganda,Rutooma,Rutooma Rwenjaza Turinde Obuhangwa,6/30/2023 22:49,1,488
UG,Kabale,Uganda - Kabale,Hamurwa,Kashongati,Kashongati-Mpungu fermers,6/29/2023 22:55,1,108
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,Tukundane Group.,6/29/2023 22:55,1,689
UG,Amuru,Uganda - Amuru,Pupwooya,Pabuga,Makmukemi,6/29/2023 22:55,1,456
UG,Bushenyi,Bushenyi,Mitooma,Rwakutaka,RUKANGA C.O.U,6/29/2023 22:55,1,168
UG,Kabale,Uganda - Kabale,Hamurwa,Rwamiganda,Ndyamuhaki trees group,6/29/2023 22:55,1,365
UG,Kanungu,Uganda - Kanungu,Bukono,Kanyashande,Kanyashande Tree planters,6/28/2023 22:50,1,1013
UG,Lamwo,Uganda - Lamwo,Paloga,LAMODO WEST CELL,NEN ANYIM TREES PLANNING 02,6/28/2023 22:50,1,2110
UG,Bushenyi,Bushenyi,Kiyanga,Nkongi.,Nkongi Turinde Ebyobuhangwa.,6/28/2023 22:50,1,938
UG,Kanungu,Uganda - Kanungu,Katojo,Ruhago,Kajubwe tree planting,6/28/2023 22:50,1,3076
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,Natural Resource Group.,6/27/2023 22:51,1,588
UG,Isingiro,Uganda - Isingiro,Kakamba,RUKONJE,RUKONJE PRIMARY SCHOOL,6/27/2023 22:51,1,317
UG,Lamwo,Uganda - Lamwo,Paloga,LOGWAK EAST,WAN ACEL B,6/26/2023 22:48,1,6638
UG,Amuru,Uganda - Amuru,Pupwooya,Palabel,Go Tree Revolutions,6/26/2023 22:48,1,203
UG,Kayunga,Uganda - Kayunga,Kasana,KASANA,Bright group,6/25/2023 22:50,1,92
UG,Kitgum,Uganda - Kitgum,Namokora,Dyer Orang,Nen Anyim Tree Planting,6/24/2023 22:47,1,931
UG,Kanungu,Uganda - Kanungu,Bukono,Rweyerezo,Robert and family TP,6/24/2023 22:47,1,474
UG,Omoro,Uganda - Omoro,Bobi, Te-Iiwa,Neno pi Anyim  te-iiwa,6/23/2023 22:51,1,151
UG,Bushenyi,Bushenyi,Kyaruganda,IRyangabi,Twekambe Trees growers,6/23/2023 22:51,1,691
UG,Isingiro,Uganda - Isingiro,Kakamba,Rugonza,KEMIYOORA GROUP,6/23/2023 22:51,1,105
IN,Tamil Nadu,India - Tiruvallur,Thiruthani,Singarajapuram,Saiman,6/23/2023 22:51,1,462
UG,Omoro,Uganda - Omoro,Bobi,Te-Ilwa,Lim corii,6/23/2023 22:51,1,63
UG,Kanungu,Uganda - Kanungu,Bukono,Ibumbwe,Ndeeba Tree Growers,6/22/2023 22:47,1,539
UG,Kabale,Uganda - Kabale,Bukinda,Kabungo,Kamugaga Bataka group,6/22/2023 22:47,1,6214
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kasaba Tc,Kasaba Tree Planting Group,6/22/2023 22:47,1,437
UG,Bushenyi,Bushenyi,Kiyanga,Kashambya.,Kashambya Tree Farmers Group.,6/22/2023 22:47,1,603
UG,Kitgum,Uganda - Kitgum,Namokora,Loyo nyuka,Pit Tek Tree Planting Group B,6/22/2023 22:47,1,563
UG,Kabale,Uganda - Kabale,Mushanje,Nyakishenyi,Muryakasinda B growers,6/22/2023 22:47,1,372
UG,Kanungu,Uganda - Kanungu,Nyamirama,Nyamirama,MUHWEZI ADAMZ T.P.G,6/22/2023 22:47,1,1293
UG,Soroti,Soroti,Odungura,Olumoi,Ikolonga tpg,6/22/2023 22:47,1,173
UG,Omoro,Uganda - Omoro,Bobi,Barromo,Wanen Anyim barromo,6/21/2023 22:47,1,181
UG,Bushenyi,Bushenyi,Kyaruganda,IRyangabi,God's Army Planting Trees Group,6/21/2023 22:47,1,543
UG,Bushenyi,Bushenyi,Kyaruganda,IRyangabi,Twekambe trees group,6/21/2023 22:47,1,1845
UG,Omoro,Uganda - Omoro,Bobi,Wii_agweng,Nen Anyim Wii agweng,6/21/2023 22:47,1,245
KE,Muranga,Kenya - Nyeri North,Kimotho,KARINGA,Kaagu lower,6/20/2023 22:44,1,0
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,Katangyemeko Tukorerehamwe Group.,6/20/2023 22:44,1,401
UG,Bushenyi,Bushenyi,Kyaruganda,Katonzi kabujogera,Tukore tree Farms (kabujogera),6/20/2023 22:44,1,2287
UG,Isingiro,Uganda - Isingiro,Kakamba,KATOOJO 1,KATOOJO TREE PLANTING,6/20/2023 22:44,1,58
UG,Bushenyi,Bushenyi,Kyaruganda,Rwamusobo,Rwamusobo Twimukye,6/20/2023 22:44,1,5724
UG,Bushenyi,Bushenyi,Kiyanga,Kaburara.,Kaburara Turinde Ebyobuhangwa,6/19/2023 22:45,1,1034
UG,Lamwo,Uganda - Lamwo,Paloga,LAGOYAGORO,ATIBA,6/19/2023 22:45,1,826
UG,Lamwo,Uganda - Lamwo,Paloga,ODODO CENTRAL,KACEL WATWERO B,6/19/2023 22:45,1,1388
UG,Lamwo,Uganda - Lamwo,Paloga,OPOKORAN,KONY PACO TREES PLANNING,6/19/2023 22:45,1,1058
UG,Kanungu,Uganda - Kanungu,Rutenga,Ruhago,SIMPLY THE BEST INVESTMENTS,6/19/2023 22:45,1,1424
UG,Lira,Uganda - Lira,Okwalomara,AGERIWANG,NENO ABOR,6/18/2023 22:43,1,114
UG,Kyenjojo,Uganda - Kyenjojo,Kyembogo,BUHUMURO,Buhumuro twetungule grp,6/18/2023 22:43,1,59
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kagando,Kagando Tree Planters,6/18/2023 22:43,1,24
KE,Muranga,Kenya - Nyeri North,Ndiara,Kiamwenyura,Strong six A.,6/18/2023 22:43,1,0
KE,Muranga,Kenya - Nyeri North,Ndiara,Kiganjo,Strong six B.,6/18/2023 22:43,1,0
UG,Bushenyi,Bushenyi,Rwajere,Nyakahita,Abine amani,6/18/2023 22:43,1,182
