Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
UG,Kabale,Uganda - Kabale,Muko,Nyakataare,16816,07/09/2023 22:47,1,471,2023-07-09 22:47:00 UTC,2023
UG,Kanungu,Uganda - Kanungu,Katojo,Ruhago,31170,07/08/2023 22:49,1,1904,2023-07-08 22:49:00 UTC,2023
UG,Kabale,Uganda - Kabale,Hamurwa,Rwamiganda,14599,07/08/2023 22:49,1,486,2023-07-08 22:49:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Kyeshabo.,27888,07/06/2023 22:49,1,490,2023-07-06 22:49:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Kyeshabo.,20613,07/05/2023 22:50,1,586,2023-07-05 22:50:00 UTC,2023
UG,Kitgum,Uganda - Kitgum,Orom,Ringilil,25451,07/05/2023 22:50,1,472,2023-07-05 22:50:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,30473,07/04/2023 22:51,1,515,2023-07-04 22:51:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Bukiriro 1 .,36041,07/03/2023 22:51,1,427,2023-07-03 22:51:00 UTC,2023
UG,Kanungu,Uganda - Kanungu,Kayonza Mpungu,Mukono,25547,07/03/2023 22:51,1,578,2023-07-03 22:51:00 UTC,2023
UG,Soroti,Soroti,Arapai,Ogorai,20720,07/02/2023 22:48,1,935,2023-07-02 22:48:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,kafunjo,20128,07/01/2023 22:47,1,121,2023-07-01 22:47:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Rwoburunga B.,22013,07/01/2023 22:47,1,116,2023-07-01 22:47:00 UTC,2023
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kajuma Itwara,23937,6/30/2023 22:49,1,21,2023-06-30 22:49:00 UTC,2023
UG,Kyenjojo,Uganda - Kyenjojo,Kigoyera,Kaswa,19384,6/30/2023 22:49,1,65,2023-06-30 22:49:00 UTC,2023
UG,Bushenyi,Bushenyi,Kiyanga,Katangyemeko.,37081,6/30/2023 22:49,1,530,2023-06-30 22:49:00 UTC,2023
UG,Amuru,Uganda - Amuru,Mutema,Labongo,10844,6/30/2023 22:49,1,0,2023-06-30 22:49:00 UTC,2023
UG,Kyenjojo,Uganda - Kyenjojo,Kyembogo,NSWIGA,15947,6/30/2023 22:49,1,289,2023-06-30 22:49:00 UTC,2023
